N,seed,candidate_index,angles_sha256_float64,OT_cost,R_N,lambda_R,weighted_R_N,J_N,objective_grid_points,objective_time_steps,sinkhorn_n_iter,sinkhorn_err_l1,rank_J,rank_R,rank_OT,selected_J,selected_R,selected_OT
24,2,54,9b89d27464c89e6604f8752f1212aa570d69463922dab907698908eb7177e904,0.01164507468733136,0.5507420545877573,0.001,0.0005507420545877573,0.012195816741919118,579,721,30,9.877393014612323e-09,27.0,33.0,10.0,False,False,False
24,2,55,643d3fe5166d914cef1e11aa6299cf33445afb433146eff74738676a2f1efd3d,0.011650516095326944,0.5414318896759998,0.001,0.0005414318896759997,0.012191947985002944,579,721,31,4.903343731044174e-09,25.0,24.0,31.0,False,False,False
24,2,56,5bdd8ba033c8e3854b5a70c042215aafa7b7aeac1a46a50af74b884cfb232c3e,0.011659212778279108,0.550170637880623,0.001,0.000550170637880623,0.01220938341615973,579,721,30,9.95449078722288e-09,36.0,32.0,55.0,False,False,False
24,2,57,3f3cc166897a08c2ec9b37b98a01ff4272dfe524d9241aa169d77c1285ff2164,0.01166224349217594,0.5656985021605527,0.001,0.0005656985021605527,0.012227941994336492,579,721,31,5.21517062868071e-09,45.0,41.0,57.0,False,False,False
24,2,58,2079eb3e15b736f66193d73b4eb32fc4ab741ef10bcd76c93464547663a145ef,0.011655760432062085,0.496845013834013,0.001,0.000496845013834013,0.012152605445896098,579,721,30,9.959796876124472e-09,3.0,1.0,48.0,False,True,False
24,2,59,4dccc02bc52da6501ecb43583f7f204122bad9460eb77efad0f2af1b94802eb3,0.01165014653113332,0.5567011912893631,0.001,0.0005567011912893631,0.012206847722422682,579,721,30,9.979329029796702e-09,34.0,34.0,30.0,False,False,False
30,0,0,e8377fe7dd3654dfec6d2d17ee46c64d0aef40724b0ab4d814453fdaeb19e48d,0.0116543448570759,0.5780050876922136,0.001,0.0005780050876922137,0.012232349944768114,579,721,30,8.994278211105211e-09,51.0,50.0,34.0,False,False,False
30,0,1,a22960c8259d0efbeb5e583c5139d370c64b2faaeff7b48cd6aef5f513f3f817,0.011647117380467783,0.5785361678328859,0.001,0.0005785361678328859,0.012225653548300668,579,721,31,5.04242914090014e-09,46.0,51.0,8.0,False,False,False
30,0,2,f3390dee7b758447c27e32d9716f709ed9fa672fdc5713379cc34aee960db1de,0.011667709081529134,0.5186026296443267,0.001,0.0005186026296443266,0.01218631171117346,579,721,30,9.35830368753443e-09,18.0,6.0,59.0,False,False,False
30,0,3,ce494b36e4f62df53079679d8fa6ee01606e0cfbb0a00fcce6985bd6fb1b4063,0.01165337479832,0.5395191156609066,0.001,0.0005395191156609067,0.012192893913980906,579,721,30,9.252092980638338e-09,21.0,21.0,31.0,False,False,False
30,0,4,8567fc677dcc43f5ef3ba3f37acfd46cd35a0d641df488d67e29711a3168a1d9,0.011652111178007369,0.5541602509270734,0.001,0.0005541602509270734,0.012206271428934443,579,721,30,9.450005555855512e-09,30.0,32.0,27.0,False,False,False
30,0,5,cd41a28c18bfe38a2f92f905e7bff54158fba38296d17f6e35146532c67eb100,0.011646313967667885,0.5288892390638394,0.001,0.0005288892390638394,0.012175203206731725,579,721,30,9.668190470435434e-09,6.0,13.0,5.0,False,False,False
30,0,6,e2f8d5850b323a927d28a781f7d21c15f9701b96dc04fa4fff510f502f7d1684,0.011661777066466966,0.5377561991023376,0.001,0.0005377561991023376,0.012199533265569303,579,721,31,4.964968658427438e-09,24.0,19.0,56.0,False,False,False
30,0,7,ceac6e470e0b10f4c0e6bc805946fee11c0c66c9f1661ce9b88ca41d4e7e4282,0.011651924864042894,0.5327486267956066,0.001,0.0005327486267956066,0.0121846734908385,579,721,30,9.407837175956502e-09,17.0,15.0,26.0,False,False,False
30,0,8,2c93f4af647956a1f1669ce04a5acc750764a7fc23ec2764a7177c6df51417e9,0.011653647014260186,0.5631522102477808,0.001,0.0005631522102477808,0.012216799224507966,579,721,31,4.895487681899624e-09,40.0,40.0,32.0,False,False,False
30,0,9,9e1747f8f9d88f6955985d55528110f537130c43bfd3a984b56349ef2cf12a4c,0.01165839026615464,0.5547474637560035,0.001,0.0005547474637560035,0.012213137729910643,579,721,31,5.120896928723084e-09,37.0,33.0,50.0,False,False,False
30,0,10,92e29265d1b7d03610f6bdd50f8cfa177c6a0e9cc500b0caf36feb4db5ec8a44,0.011649037120502075,0.5970635736355192,0.001,0.0005970635736355192,0.012246100694137594,579,721,31,4.896066663206966e-09,56.0,58.0,15.0,False,False,False
30,0,11,fe107769a333c2ada164be0abad1dab96d332d8d5fcca127df79b4687e28ff5f,0.011666019234277968,0.5853663337508642,0.001,0.0005853663337508642,0.012251385568028832,579,721,30,9.1710511407328e-09,57.0,55.0,58.0,False,False,False
30,0,12,ff696dadcf3f5bcd33f3fbfcb6b35a49361e34c17a8d6414556cf77bc91bf89d,0.01165496843113073,0.5976156474215399,0.001,0.00059761564742154,0.01225258407855227,579,721,31,4.89728502195419e-09,58.0,59.0,38.0,False,False,False
30,0,13,7d2ac08784c9a4d50a3c1b9fe8d48e0ec0cf798f51db69b66db0462675260aed,0.011648140304394969,0.5839782640005668,0.001,0.0005839782640005668,0.012232118568395536,579,721,31,5.1498602049449005e-09,50.0,54.0,11.0,False,False,False
30,0,14,b06165dcf8b06f441b7642e3f82202122c337dfc23e19d9f31e6b4b1d3c77b49,0.011656268544358295,0.5751743827477571,0.001,0.0005751743827477571,0.012231442927106052,579,721,30,9.51890199996086e-09,48.0,48.0,44.0,False,False,False
30,0,15,d262ea7b97250450366a19092ecd59b0b6d250e9de62256e0f7d6eea0e468c6d,0.011648230876207404,0.5342032249271143,0.001,0.0005342032249271143,0.012182434101134518,579,721,31,5.1968617187370114e-09,11.0,16.0,12.0,False,False,False
30,0,16,d628c28cfc898320feb007789adbafb2ed711ae93599ee25d4e9cc3f85e860b1,0.011654479205794785,0.5289088061314834,0.001,0.0005289088061314834,0.012183388011926269,579,721,30,9.885323670744128e-09,15.0,14.0,36.0,False,False,False
30,0,17,602757f776e657a58ce054b6e28c64e10a7c9df96f6f9efe15d3f4ebe8ef2932,0.011657137506306512,0.5970235032109972,0.001,0.0005970235032109972,0.01225416100951751,579,721,31,5.177090200980672e-09,59.0,57.0,46.0,False,False,False
30,0,18,67260cbe14e419cfe60602fbc1ca7f3122f5ffc1d975791ba902085b85eb1fa6,0.011661443373760577,0.5930197991680534,0.001,0.0005930197991680534,0.01225446317292863,579,721,31,5.1195337968934496e-09,60.0,56.0,55.0,False,False,False
30,0,19,f2d8d1d842fbac61e1018e33b0f51aa68d15f21ae09b310ac9130b7048668ad9,0.01164195475027141,0.5173289147870527,0.001,0.0005173289147870527,0.012159283665058463,579,721,30,8.96569751773768e-09,1.0,5.0,1.0,True,False,True
30,0,20,80d03546e4d9eba093cd85a4edcb7ae492b551317050be000beace2429ecc63a,0.011649836477423195,0.5110836269520954,0.001,0.0005110836269520954,0.01216092010437529,579,721,30,8.997537936927813e-09,3.0,2.0,19.0,False,False,False
30,0,21,04fb213f1b13f892ee1f3d6fb90aeb179dcf6431f5e1aa5935c65c89c2ad8eb4,0.011652927273863179,0.5251400046914804,0.001,0.0005251400046914804,0.01217806727855466,579,721,31,5.347409071099207e-09,9.0,11.0,28.0,False,False,False
30,0,22,961741b3f5f3a2d47dd46da7e7f4f8f17554fe0a9c8a05ca39f74ebcfad9ae55,0.011649925355853184,0.5512619809741164,0.001,0.0005512619809741164,0.012201187336827301,579,721,31,4.8719842604683095e-09,27.0,27.0,21.0,False,False,False
30,0,23,1c7d4dfe6998c80077a77f16daf3e8630092b93982c5c61900d7eda47f3a08b1,0.011646400906142424,0.5631042961201206,0.001,0.0005631042961201206,0.012209505202262546,579,721,31,5.255789137237343e-09,35.0,39.0,6.0,False,False,False
30,0,24,d23ca4630f97c45531ed754563d138cbfa64a742d1fa17f406e87f34ff5d4892,0.011656976680781203,0.5760338411447664,0.001,0.0005760338411447665,0.01223301052192597,579,721,30,9.808841183733819e-09,53.0,49.0,45.0,False,False,False
30,0,25,6f5fd49dbddc0c0df18d7f4d9e090350e6c503bf0d8b943d3173878f3eb1121c,0.011655030458314956,0.5676980615088929,0.001,0.0005676980615088929,0.01222272851982385,579,721,30,9.205624373898047e-09,44.0,44.0,40.0,False,False,False
30,0,26,9d7f9512a4d24c0099586b8968ee88173dbe7d732c7cb866727b356e15aa3313,0.011648319817313579,0.5524857119438311,0.001,0.0005524857119438312,0.012200805529257409,579,721,31,5.616090592575063e-09,26.0,29.0,13.0,False,False,False
30,0,27,c66ec0fa9e0c6ea987b55b1cbf6ea20089ca9e6cdafb23017456500ffa7a443c,0.011646034616981181,0.5385074741662561,0.001,0.0005385074741662561,0.012184542091147436,579,721,30,9.917089593969308e-09,16.0,20.0,4.0,False,False,False
